Date,Open,High,Low,Close,Adj Close,Volume
2023-12-11,263.040009,270.700012,257.019989,262.260010,262.260010,3136000
2023-12-12,261.570007,268.549988,258.250000,265.369995,265.369995,2178300
2023-12-13,267.000000,275.609985,262.500000,273.320007,273.320007,2735800
2023-12-14,278.000000,296.329987,277.899994,294.399994,294.399994,4544100
2023-12-15,295.000000,301.910004,292.459991,300.109985,300.109985,3749000
2023-12-18,304.420013,327.549988,302.950012,322.190002,322.190002,5741000
2023-12-19,315.000000,321.339996,308.010010,315.940002,315.940002,4014300
2023-12-20,315.510010,320.619995,301.079987,302.079987,302.079987,3122900
2023-12-21,308.940002,313.980011,300.730011,304.179993,304.179993,2508400
2023-12-22,307.570007,309.250000,285.049988,289.720001,289.720001,4435600
2023-12-26,290.910004,296.709991,287.440002,294.329987,294.329987,2422100
2023-12-27,298.000000,299.000000,290.850006,295.000000,295.000000,1411700
2023-12-28,293.609985,297.250000,290.640015,291.450012,291.450012,1265100
2023-12-29,291.510010,293.339996,280.170013,284.260010,284.260010,2101300
2024-01-02,280.000000,287.000000,275.880005,285.450012,285.450012,1904200
2024-01-03,277.250000,287.890015,276.519989,280.640015,280.640015,1677600
2024-01-04,280.500000,295.480011,276.269989,288.799988,288.799988,2311100
2024-01-05,288.799988,298.880005,287.570007,292.130005,292.130005,2342000
2024-01-08,294.890015,321.820007,293.519989,320.279999,320.279999,4262600
2024-01-09,318.329987,349.179993,317.209991,343.730011,343.730011,6703300
2024-01-10,347.000000,357.989990,332.239990,342.380005,342.380005,5345400
2024-01-11,344.839996,355.179993,330.739990,343.309998,343.309998,4172900
2024-01-12,345.529999,349.480011,338.290009,339.559998,339.559998,2286900
2024-01-16,340.549988,352.000000,324.309998,326.309998,326.309998,4732900
2024-01-17,320.510010,322.000000,305.750000,318.230011,318.230011,3585800
2024-01-18,330.010010,334.000000,306.470001,311.440002,311.440002,4875100
2024-01-19,347.559998,428.690002,338.880005,423.359985,423.359985,23049300
2024-01-22,456.350006,485.859985,410.190002,436.239990,436.239990,18823300
2024-01-23,436.000000,458.269989,416.540009,457.380005,457.380005,9677200
2024-01-24,471.290009,496.779999,460.230011,470.190002,470.190002,12117000
2024-01-25,476.109985,483.660004,466.109985,475.579987,475.579987,6717300
2024-01-26,467.100006,483.250000,459.700012,474.149994,474.149994,5035600
2024-01-29,475.670013,495.720001,471.899994,495.670013,495.670013,11525100
2024-01-30,547.320007,554.440002,501.170013,512.969971,512.969971,17956400
2024-01-31,503.350006,546.000000,503.329987,529.609985,529.609985,11997300
2024-02-01,540.000000,587.609985,536.000000,583.500000,583.500000,13609600
2024-02-02,592.520020,606.000000,565.000000,579.630005,579.630005,12179100
2024-02-05,589.880005,670.000000,587.950012,663.349976,663.349976,17596400
2024-02-06,673.000000,686.000000,625.809998,681.590027,681.590027,18489000
2024-02-07,675.000000,699.770020,660.000000,683.599976,683.599976,12333000
2024-02-08,670.760010,714.489990,666.049988,698.000000,698.000000,9413700
2024-02-09,710.049988,745.169983,708.900024,740.289978,740.289978,10834800
2024-02-12,761.340027,810.000000,745.070007,773.010010,773.010010,16872300
2024-02-13,750.000000,800.000000,745.510010,791.489990,791.489990,14480500
2024-02-14,823.309998,886.030029,820.880005,880.549988,880.549988,20128600
2024-02-15,945.000000,1006.349976,917.710022,1004.000000,1004.000000,25240600
2024-02-16,1045.500000,1077.869995,801.150024,803.320007,803.320007,33802400
2024-02-20,790.000000,802.000000,692.500000,787.570007,787.570007,25412600
2024-02-21,749.750000,772.500000,708.080017,734.169983,734.169983,14962900
2024-02-22,864.989990,1003.539978,834.000000,975.520020,975.520020,25372700
2024-02-23,938.159973,995.000000,824.020020,860.010010,860.010010,19384400
2024-02-26,884.469971,895.960022,830.020020,876.340027,876.340027,9607800
2024-02-27,862.940002,869.000000,814.000000,851.109985,851.109985,6910400
2024-02-28,820.000000,846.500000,812.000000,816.539978,816.539978,6032500
2024-02-29,839.000000,890.520020,839.000000,866.119995,866.119995,8842900
2024-03-01,881.880005,927.000000,881.000000,905.479980,905.479980,9887600
2024-03-04,1039.000000,1155.000000,1020.340027,1074.339966,1074.339966,20162100
2024-03-05,1035.000000,1097.500000,976.099976,1090.829956,1090.829956,13304400
2024-03-06,1158.000000,1169.500000,1092.000000,1124.699951,1124.699951,11893300
2024-03-07,1133.000000,1162.050049,1090.300049,1159.760010,1159.760010,8824300
2024-03-08,1212.000000,1229.000000,1092.000000,1140.010010,1140.010010,11672100
2024-03-11,1100.250000,1111.000000,1025.000122,1082.951660,1082.951660,4739172
